1483093132.049669        0380    000    8    30 bb 82 00 9d 53 00 81
1483093132.049886        0381    000    8    01 cb 00 00 03 00 00 04
1483093132.050104        0180    000    6    64 10 7f ff f4 00
1483093132.050338        0440    000    6    00 00 00 00 00 00
1483093132.050607        04a0    000    6    01 40 00 df ff 00
1483093132.050782        0531    000    6    03 00 28 01 01 00
1483093132.059961        0180    000    6    64 1a 7f ff fe 00
1483093132.069964        0180    000    6    64 ec 7f ff 08 00
1483093132.079988        0180    000    6    64 f6 7f ff 12 00
1483093132.089980        0180    000    6    64 f8 7f ff 1c 00
1483093132.099982        0180    000    6    64 c2 7f ff 26 00
1483093132.107827        0140    000    8    81 03 20 fc df 00 00 00
1483093132.108073        0280    000    8    00 00 00 00 00 00 00 00
1483093132.108258        0383    000    5    9a 20 00 00 ff
1483093132.109548        0380    000    8    60 bb 82 00 9d 5b 00 81
1483093132.109983        0180    000    6    64 d4 7f ff 30 00
1483093132.117849        0140    000    8    82 03 20 fc de 00 00 00
1483093132.118090        0280    000    8    00 00 00 00 00 00 00 00
1483093132.118339        0290    000    8    40 00 40 00 40 00 40 00
1483093132.118504        0295    000    4    00 aa 1f ab
1483093132.120018        0180    000    6    64 de 7f ff 3a 00
1483093132.127848        0140    000    8    83 03 20 fc dd 00 00 00
1483093132.128087        0280    000    8    00 00 00 00 00 00 00 00
1483093132.130010        0180    000    6    64 a0 7f ff 44 00
1483093132.137889        0140    000    8    80 03 20 fc e0 00 00 00
1483093132.138097        0280    000    8    00 00 00 00 00 00 00 00
1483093132.139586        0380    000    8    b0 bb 82 00 9d 7b 00 81
1483093132.140023        0180    000    6    64 aa 7f ff 4e 00
1483093132.147854        0140    000    8    81 03 20 fc df 00 00 00
1483093132.148096        0280    000    8    00 00 00 00 00 00 00 00
1483093132.149603        0381    000    8    01 cb 00 af 03 00 00 04
1483093132.150013        0180    000    6    64 bc 7f ff 58 00
1483093132.156856        01a0    000    8    00 00 00 00 00 00 00 00
1483093132.157103        0410    000    8    78 00 00 00 00 00 00 00
1483093132.157339        0480    000    8    10 11 04 a5 a2 fa c4 1b
1483093132.157583        0510    000    8    04 3e 3d 00 00 00 00 00
1483093132.157846        0140    000    8    82 03 20 fc de 00 00 00
1483093132.158092        0280    000    8    00 00 00 00 00 00 00 00
1483093132.159599        0380    000    8    e0 bb 82 00 9d 7b 00 81
1483093132.160023        0180    000    6    64 86 7f ff 62 00
1483093132.166605        0110    000    8    02 00 00 00 00 25 00 00
1483093132.166842        0120    000    8    00 2c c1 90 20 4a c0 00
1483093132.167853        0140    000    8    83 03 20 fc dd 00 00 00
1483093132.168095        0280    000    8    00 00 00 00 00 00 00 00
1483093132.169653        0488    000    8    07 66 02 00 00 00 00 00
1483093132.170025        0180    000    6    64 88 7f ff 6c 00
1483093132.176672        0110    000    8    02 00 00 00 00 1a 00 00
1483093132.176910        0120    000    8    00 2c c4 28 20 4a c0 00
1483093132.177156        0300    000    8    04 22 00 00 01 00 00 00
1483093132.177401        0301    000    8    00 00 1b 00 00 51 03 00
1483093132.177859        0140    000    8    80 03 20 fc e0 00 00 00
1483093132.178101        0280    000    8    00 00 00 00 00 00 00 00
1483093132.180033        0180    000    6    64 92 7f ff 76 00
1483093132.186952        0110    000    8    02 00 00 00 00 0a 00 00
1483093132.187191        0120    000    8    00 2c c4 28 20 4a c0 00
1483093132.187858        0140    000    8    81 03 20 fc df 00 00 00
1483093132.188103        0280    000    8    00 00 00 00 00 00 00 00
1483093132.190045        0180    000    6    64 64 7f ff 80 00
1483093132.196624        0110    000    8    02 00 00 00 00 13 00 00
1483093132.196863        0120    000    8    00 2c c4 28 20 4a c0 00
1483093132.197863        0140    000    8    82 03 20 fc de 00 00 00
1483093132.198102        0280    000    8    00 00 00 00 00 00 00 00
1483093132.200053        0180    000    6    64 6e 7f ff 8a 00
1483093132.206645        0110    000    8    02 00 00 00 00 28 00 00
1483093132.206884        0120    000    8    00 2c c4 28 20 4a c0 00
1483093132.207126        01a0    000    8    00 11 f8 8f 00 00 00 00
1483093132.207849        0140    000    8    83 03 20 fc dd 00 00 00
1483093132.208076        0280    000    8    00 00 00 00 00 00 00 00
1483093132.208261        0383    000    5    9a 20 00 00 ff
1483093132.210061        0180    000    6    64 70 7f ff 94 00
1483093132.216542        0110    000    8    02 00 00 00 00 39 00 00
1483093132.216778        0120    000    8    00 2c c4 28 20 4a c0 00
1483093132.217864        0140    000    8    80 03 20 fc e0 00 00 00
1483093132.218103        0280    000    8    00 00 00 00 00 00 00 00
1483093132.218353        0290    000    8    40 00 40 00 40 00 40 00
1483093132.220068        0180    000    6    64 7a 7f ff 9e 00
1483093132.226932        0110    000    8    02 00 00 00 00 3d 00 00
1483093132.227172        0120    000    8    00 2c c4 28 20 4a c0 00
1483093132.227849        0140    000    8    81 03 20 fc df 00 00 00
1483093132.228098        0280    000    8    00 00 00 00 00 00 00 00
1483093132.230083        0180    000    6    64 4c 7f ff a8 00
1483093132.236603        0110    000    8    02 00 00 00 00 3d 00 00
1483093132.236842        0120    000    8    00 2c c4 28 20 4a c0 00
1483093132.237863        0140    000    8    82 03 20 fc de 00 00 00
